"","Religion","Outcome_rate","Outcome_base","Older_rate","Female_rate","Ethnic_minority_rate","Sexual_minority_rate","Patient_facing_rate","Med_Dental_rate","Emotional_public_rate","Emotional_manager_rate","Emotional_colleagues_rate","Physical_manager_rate","Physical_colleagues_rate","Discrimination_internal_rate","Discrimination_public_rate","Time_demands_meet_rate","year"
"1","No religion",0.342819578757187,722166,0.238458256279069,0.734676178575171,0.0533354646412271,0.113776738347504,0.805169213940958,0.0376259497980571,0.268299705561126,0.0907244888431895,0.147997802748616,0.00376287528079217,0.00942014702631692,0.0634818716876081,0.0635432958948481,0.414268588200427,NA
"2","Christian",0.297707468186287,871109,0.431219843786227,0.768723195266502,0.187090507616563,0.053744115725376,0.809492372220847,0.0342041291845419,0.266366910061158,0.102256077175706,0.167493262865569,0.00678787491931623,0.0158471780459662,0.087066862416489,0.0821394632091187,0.447303371656673,NA
"3","Jewish",0.319929938007517,5743,0.361582676686071,0.650987063518005,0.126111413056358,0.155749599986495,0.849840561618455,0.149273623784428,0.275119517730448,0.147663073956313,0.191847044477957,0.0130294471727576,0.0165452299280095,0.116688865232924,0.0940585546709904,0.404274783964448,NA
"4","Muslim",0.327031453773307,63159,0.168411334882647,0.598402604898176,0.946249575537199,0.0513938130224634,0.768309376551172,0.129220927485803,0.256378563809486,0.115387915335229,0.192372299219156,0.0130817746685554,0.0252715124210162,0.145147312541336,0.157537686816048,0.552088793218091,NA
"5","Buddhist",0.344658782131296,13159,0.344708647691102,0.619363874781012,0.46855211944927,0.210992776978412,0.823449778140146,0.116593257467487,0.31333905223089,0.139331227782627,0.20198715684229,0.0127253971770705,0.0267384083667383,0.126246138904994,0.138642494704552,0.437932977438147,NA
"6","Hindu",0.285102542042308,48410,0.256571241774375,0.639397725347806,0.982861976793472,0.0681615546718541,0.765946799039306,0.179163042169371,0.227552954629726,0.119570814797903,0.170619641098125,0.0172705239412408,0.0266219792292934,0.122167495217531,0.12735738203227,0.541692824359188,NA
"7","Sikh",0.30851923090742,11558,0.273729380522324,0.71097620880134,0.983230279450181,0.0706771975011293,0.718160605454577,0.0739455110046196,0.222908848845099,0.122589530878477,0.181236002313784,0.0130237273897223,0.0246632453756071,0.123196065920448,0.125901159554852,0.52466343878744,NA
"8","Any other religion",0.3350490101589,30955,0.366325992116732,0.692816961941895,0.237569420084331,0.172664972978176,0.822654894282657,0.0256005731810813,0.307175198518621,0.132253125107635,0.221028400073612,0.0107869450103475,0.0220243265833234,0.128130740720869,0.121122092247139,0.46389189455964,NA
"9","I would prefer not to say",0.416389541049052,110006,0.340423402094319,0.460385764207937,0.255706007253533,0.622380323832177,0.787865267079423,0.0645744046734667,0.311685871113648,0.188932777219345,0.23747254115865,0.0104700212792392,0.0194976888425491,0.156035349100574,0.110470713311572,0.323391224659376,NA
